iter	Passed	Remaining
815	4972	1121
816	4977	1115
817	4983	1108
818	4988	1102
819	4992	1095
820	4997	1089
821	5003	1083
822	5008	1077
823	5015	1071
824	5020	1064
825	5024	1058
826	5030	1052
827	5034	1045
828	5039	1039
829	5044	1033
830	5048	1026
831	5052	1020
832	5056	1013
833	5062	1007
834	5068	1001
835	5074	995
836	5079	989
837	5085	983
838	5090	976
839	5096	970
840	5101	964
841	5108	958
842	5112	952
843	5118	946
844	5124	940
845	5129	933
846	5134	927
847	5139	921
848	5144	915
849	5149	908
850	5154	902
851	5160	896
852	5164	890
853	5169	883
854	5175	877
855	5180	871
856	5184	865
857	5189	858
858	5193	852
859	5198	846
860	5202	839
861	5205	833
862	5209	827
863	5214	820
864	5219	814
865	5223	808
866	5227	801
867	5232	795
868	5237	789
869	5241	783
870	5245	776
871	5250	770
872	5253	764
873	5258	758
874	5263	751
875	5267	745
876	5271	739
877	5275	733
878	5280	726
879	5285	720
880	5289	714
881	5293	708
882	5298	702
883	5302	695
884	5307	689
885	5310	683
886	5315	677
887	5320	671
888	5324	664
889	5330	658
890	5334	652
891	5339	646
892	5343	640
893	5348	634
894	5353	628
895	5358	621
896	5363	615
897	5367	609
898	5372	603
899	5375	597
900	5380	591
901	5385	585
902	5389	578
903	5394	572
904	5398	566
905	5403	560
906	5407	554
907	5412	548
908	5417	542
909	5423	536
910	5429	530
911	5434	524
912	5440	518
913	5444	512
914	5449	506
915	5454	500
916	5459	494
917	5463	488
918	5467	481
919	5472	475
920	5477	469
921	5482	463
922	5487	457
923	5492	451
924	5496	445
925	5499	439
926	5505	433
927	5509	427
928	5512	421
929	5516	415
930	5521	409
931	5524	403
932	5529	397
933	5535	391
934	5539	385
935	5543	379
936	5547	372
937	5551	366
938	5555	360
939	5560	354
940	5567	349
941	5571	343
942	5575	337
943	5578	330
944	5582	324
945	5587	318
946	5591	312
947	5596	306
948	5600	300
949	5604	294
950	5608	288
951	5611	282
952	5616	276
953	5619	270
954	5623	264
955	5626	258
956	5631	253
957	5635	247
958	5640	241
959	5644	235
960	5648	229
961	5651	223
962	5654	217
963	5657	211
964	5662	205
965	5665	199
966	5669	193
967	5673	187
968	5677	181
969	5681	175
970	5684	169
971	5688	163
972	5691	157
973	5694	152
974	5698	146
975	5702	140
976	5707	134
977	5711	128
978	5714	122
979	5718	116
980	5721	110
981	5726	104
982	5730	99
983	5734	93
984	5738	87
985	5742	81
986	5745	75
987	5749	69
988	5752	63
989	5756	58
990	5757	52
991	5760	46
992	5763	40
993	5767	34
994	5772	29
995	5776	23
996	5781	17
997	5784	11
998	5788	5
999	5791	0
